ticket_id,col_index,facility_ja,availability,availability_meaning
18kippu,0,新幹線 / のぞみ／みずほ号,×,乗車不可
18kippu,1,新幹線 / グランクラス,×,乗車不可
18kippu,2,新幹線 / グリーン車,×,乗車不可
18kippu,3,新幹線 / 普通車指定,×,乗車不可
18kippu,4,新幹線 / 普通者個室,×,乗車不可
18kippu,5,新幹線 / 普通車自由,×,乗車不可
18kippu,6,在来線特急・急行 / Ａ個室寝台車,×,乗車不可
18kippu,7,在来線特急・急行 / Ｂ個室寝台車,×,乗車不可
18kippu,8,在来線特急・急行 / グリーン個室,×,乗車不可
18kippu,9,在来線特急・急行 / グリーン車,×,乗車不可
18kippu,10,在来線特急・急行 / 普通車指定,×,乗車不可
18kippu,11,在来線特急・急行 / 普通車自由,△,条件付き利用可
18kippu,12,快速・普通 / グリーン車指定,×,乗車不可
18kippu,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
18kippu,14,快速・普通 / ライナー,▲,乗車券のみ有効
18kippu,15,快速・普通 / 普通車指定,▲,乗車券のみ有効
18kippu,16,快速・普通 / 普通車自由,○,乗車可
18kippu,17,ＢＲＴ,○,乗車可
18kippu,18,宮島航路,○,乗車可
autumn,0,新幹線 / のぞみ／みずほ号,×,乗車不可
autumn,1,新幹線 / グランクラス,×,乗車不可
autumn,2,新幹線 / グリーン車,×,乗車不可
autumn,3,新幹線 / 普通車指定,×,乗車不可
autumn,4,新幹線 / 普通者個室,×,乗車不可
autumn,5,新幹線 / 普通車自由,×,乗車不可
autumn,6,在来線特急・急行 / Ａ個室寝台車,×,乗車不可
autumn,7,在来線特急・急行 / Ｂ個室寝台車,×,乗車不可
autumn,8,在来線特急・急行 / グリーン個室,×,乗車不可
autumn,9,在来線特急・急行 / グリーン車,×,乗車不可
autumn,10,在来線特急・急行 / 普通車指定,×,乗車不可
autumn,11,在来線特急・急行 / 普通車自由,△ *1,条件付き利用可
autumn,12,快速・普通 / グリーン車指定,×,乗車不可
autumn,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
autumn,14,快速・普通 / ライナー,▲,乗車券のみ有効
autumn,15,快速・普通 / 普通車指定,▲,乗車券のみ有効
autumn,16,快速・普通 / 普通車自由,○,乗車可
autumn,17,ＢＲＴ,○,乗車可
autumn,18,宮島航路,○,乗車可
jreast04,0,東北・上越・北陸新幹線,×,乗車不可
jreast04,1,北海道新幹線,△*1,条件付き利用可
jreast04,2,在来線特急・急行 / 寝台車,×,乗車不可
jreast04,3,在来線特急・急行 / グリーン車,×,乗車不可
jreast04,4,在来線特急・急行 / 普通車指定,×,乗車不可
jreast04,6,快速・普通 / グリーン車指定,×,乗車不可
jreast04,7,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast04,8,快速・普通 / ライナー,▲,乗車券のみ有効
jreast04,9,快速・普通 / 指定,▲,乗車券のみ有効
jreast04,10,快速・普通 / 自由,○,乗車可
jreast04,11,ＢＲＴ,○,乗車可
jreast203,1,東海道新幹線,×,乗車不可
jreast203,2,北海道･東北･秋田･山形 上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効
jreast203,3,北海道･東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効
jreast203,4,北海道･東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可
jreast203,5,北海道･東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可
jreast203,6,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効
jreast203,7,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jreast203,8,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jreast203,9,在来線特急/急行 / 普通車指定,△,条件付き利用可
jreast203,10,在来線特急/急行 / 普通車自由,○,乗車可
jreast203,11,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jreast203,12,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast203,13,快速・普通 / ライナー,▲,乗車券のみ有効
jreast203,14,快速・普通 / 指定,△,条件付き利用可
jreast203,15,快速・普通 / 自由,○,乗車可
jreast203,16,ＢＲＴ,○,乗車可
jreast205,1,東海道新幹線,×,乗車不可
jreast205,2,北海道新幹線 / グランクラス,▲,乗車券のみ有効
jreast205,3,北海道新幹線 / グリーン車,▲,乗車券のみ有効
jreast205,4,北海道新幹線 / 普通車指定,△,条件付き利用可
jreast205,5,東北･秋田･山形 上越･長野新幹線 / グランクラス,▲,乗車券のみ有効
jreast205,6,東北･秋田･山形 上越･長野新幹線 / グリーン車,▲,乗車券のみ有効
jreast205,7,東北･秋田･山形 上越･長野新幹線 / 普通車指定,△,条件付き利用可
jreast205,8,東北･秋田･山形 上越･長野新幹線 / 普通車自由,○,乗車可
jreast205,9,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効
jreast205,10,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jreast205,11,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jreast205,12,在来線特急/急行 / 普通車指定,△,条件付き利用可
jreast205,13,在来線特急/急行 / 普通車自由,○,乗車可
jreast205,14,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jreast205,15,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast205,16,快速・普通 / ライナー,▲,乗車券のみ有効
jreast205,17,快速・普通 / 指定,△,条件付き利用可
jreast205,18,快速・普通 / 自由,○,乗車可
jreast205,19,ＢＲＴ,○,乗車可
jreast201,1,東海道新幹線,×,乗車不可
jreast201,2,北海道新幹線,×,乗車不可
jreast201,3,東北･秋田･山形 上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効
jreast201,4,東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効
jreast201,5,東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可
jreast201,6,東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可
jreast201,7,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効
jreast201,8,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jreast201,9,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jreast201,10,在来線特急/急行 / 普通車指定,△,条件付き利用可
jreast201,11,在来線特急/急行 / 普通車自由,○,乗車可
jreast201,12,快速・普通 / グリーン車指定,▲,乗車券のみ有効
jreast201,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効
jreast201,14,快速・普通 / ライナー,▲,乗車券のみ有効
jreast201,15,快速・普通 / 指定,△,条件付き利用可
jreast201,16,快速・普通 / 自由,○,乗車可
jreast201,17,ＢＲＴ,○,乗車可
jreast221,0,東海道新幹線,×,乗車不可
jreast221,1,東北･秋田･山形 上越･北陸新幹線 / グラン,▲,乗車券のみ有効
jreast221,2,東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効
jreast221,3,東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可
jreast221,4,東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可
jreast221,5,東北･秋田･山形 上越･北陸新幹線 / Ａ寝台車,▲,乗車券のみ有効
jreast221,6,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効
jreast221,7,在来線特急/急行 / グリーン車,▲,乗車券のみ有効
jreast221,8,在来線特急/急行 / 普通車指定,△,条件付き利用可
jreast221,9,在来線特急/急行 / 普通車自由,○,乗車可
