ticket_id,col_index,facility_ja,availability,availability_meaning,facility_zh,facility_cov
18kippu,0,新幹線 / のぞみ／みずほ号,×,乗車不可,新幹線 / 希望号/瑞穗号号,0.95
18kippu,1,新幹線 / グランクラス,×,乗車不可,新幹線 / 超高级车厢(Gran Class),0.95
18kippu,2,新幹線 / グリーン車,×,乗車不可,新幹線 / 绿色车厢,0.95
18kippu,3,新幹線 / 普通車指定,×,乗車不可,新幹線 / 普通车厢指定席席,0.95
18kippu,4,新幹線 / 普通者個室,×,乗車不可,新幹線 / 普通者包厢,0.95
18kippu,5,新幹線 / 普通車自由,×,乗車不可,新幹線 / 普通车厢自由席席,0.95
18kippu,6,在来線特急・急行 / Ａ個室寝台車,×,乗車不可,在来線特急・急行 / A包厢卧铺车,0.95
18kippu,7,在来線特急・急行 / Ｂ個室寝台車,×,乗車不可,在来線特急・急行 / B包厢卧铺车,0.95
18kippu,8,在来線特急・急行 / グリーン個室,×,乗車不可,在来線特急・急行 / 绿色包厢,0.95
18kippu,9,在来線特急・急行 / グリーン車,×,乗車不可,在来線特急・急行 / 绿色车厢,0.95
18kippu,10,在来線特急・急行 / 普通車指定,×,乗車不可,在来線特急・急行 / 普通车厢指定席席,0.95
18kippu,11,在来線特急・急行 / 普通車自由,△,条件付き利用可,在来線特急・急行 / 普通车厢自由席席,0.95
18kippu,12,快速・普通 / グリーン車指定,×,乗車不可,快速・普通 / 绿色车厢指定席席,0.95
18kippu,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
18kippu,14,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
18kippu,15,快速・普通 / 普通車指定,▲,乗車券のみ有効,快速・普通 / 普通车厢指定席席,0.95
18kippu,16,快速・普通 / 普通車自由,○,乗車可,快速・普通 / 普通车厢自由席席,0.95
18kippu,17,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
18kippu,18,宮島航路,○,乗車可,宫岛航线,0.9
autumn,0,新幹線 / のぞみ／みずほ号,×,乗車不可,新幹線 / 希望号/瑞穗号号,0.95
autumn,1,新幹線 / グランクラス,×,乗車不可,新幹線 / 超高级车厢(Gran Class),0.95
autumn,2,新幹線 / グリーン車,×,乗車不可,新幹線 / 绿色车厢,0.95
autumn,3,新幹線 / 普通車指定,×,乗車不可,新幹線 / 普通车厢指定席席,0.95
autumn,4,新幹線 / 普通者個室,×,乗車不可,新幹線 / 普通者包厢,0.95
autumn,5,新幹線 / 普通車自由,×,乗車不可,新幹線 / 普通车厢自由席席,0.95
autumn,6,在来線特急・急行 / Ａ個室寝台車,×,乗車不可,在来線特急・急行 / A包厢卧铺车,0.95
autumn,7,在来線特急・急行 / Ｂ個室寝台車,×,乗車不可,在来線特急・急行 / B包厢卧铺车,0.95
autumn,8,在来線特急・急行 / グリーン個室,×,乗車不可,在来線特急・急行 / 绿色包厢,0.95
autumn,9,在来線特急・急行 / グリーン車,×,乗車不可,在来線特急・急行 / 绿色车厢,0.95
autumn,10,在来線特急・急行 / 普通車指定,×,乗車不可,在来線特急・急行 / 普通车厢指定席席,0.95
autumn,11,在来線特急・急行 / 普通車自由,△ *1,条件付き利用可,在来線特急・急行 / 普通车厢自由席席,0.95
autumn,12,快速・普通 / グリーン車指定,×,乗車不可,快速・普通 / 绿色车厢指定席席,0.95
autumn,13,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
autumn,14,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
autumn,15,快速・普通 / 普通車指定,▲,乗車券のみ有効,快速・普通 / 普通车厢指定席席,0.95
autumn,16,快速・普通 / 普通車自由,○,乗車可,快速・普通 / 普通车厢自由席席,0.95
autumn,17,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
autumn,18,宮島航路,○,乗車可,宫岛航线,0.9
jreast04,0,東北・上越・北陸新幹線,×,乗車不可,東北・上越・北陆新干线,0.9
jreast04,1,北海道新幹線,△*1,条件付き利用可,北海道新干线,0.9
jreast04,2,在来線特急・急行 / 寝台車,×,乗車不可,在来線特急・急行 / 卧铺车,0.95
jreast04,3,在来線特急・急行 / グリーン車,×,乗車不可,在来線特急・急行 / 绿色车厢,0.95
jreast04,4,在来線特急・急行 / 普通車指定,×,乗車不可,在来線特急・急行 / 普通车厢指定席席,0.95
jreast04,6,快速・普通 / グリーン車指定,×,乗車不可,快速・普通 / 绿色车厢指定席席,0.95
jreast04,7,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast04,8,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast04,9,快速・普通 / 指定,▲,乗車券のみ有効,快速・普通 / 指定席,0.95
jreast04,10,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast04,11,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast203,1,東海道新幹線,×,乗車不可,东海道新干线,0.9
jreast203,2,北海道･東北･秋田･山形 上越･北陸新幹線 / グランクラス,▲,乗車券のみ有効,北海道・東北・秋田・山形 上越・北陆新干线 / 超高级车厢(Gran Class),0.95
jreast203,3,北海道･東北･秋田･山形 上越･北陸新幹線 / グリーン車,▲,乗車券のみ有効,北海道・東北・秋田・山形 上越・北陆新干线 / 绿色车厢,0.95
jreast203,4,北海道･東北･秋田･山形 上越･北陸新幹線 / 普通車指定,△,条件付き利用可,北海道・東北・秋田・山形 上越・北陆新干线 / 普通车厢指定席席,0.95
jreast203,5,北海道･東北･秋田･山形 上越･北陸新幹線 / 普通車自由,○,乗車可,北海道・東北・秋田・山形 上越・北陆新干线 / 普通车厢自由席席,0.95
jreast203,6,在来線特急/急行 / Ａ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / A卧铺车,0.95
jreast203,7,在来線特急/急行 / Ｂ寝台車,▲,乗車券のみ有効,既有线特快 / 急行 / B卧铺车,0.95
jreast203,8,在来線特急/急行 / グリーン車,▲,乗車券のみ有効,既有线特快 / 急行 / 绿色车厢,0.95
jreast203,9,在来線特急/急行 / 普通車指定,△,条件付き利用可,既有线特快 / 急行 / 普通车厢指定席席,0.95
jreast203,10,在来線特急/急行 / 普通車自由,○,乗車可,既有线特快 / 急行 / 普通车厢自由席席,0.95
jreast203,11,快速・普通 / グリーン車指定,▲,乗車券のみ有効,快速・普通 / 绿色车厢指定席席,0.95
jreast203,12,快速・普通 / グリーン車自由,▲,乗車券のみ有効,快速・普通 / 绿色车厢自由席席,0.95
jreast203,13,快速・普通 / ライナー,▲,乗車券のみ有効,快速・普通 / 快车(Liner),0.95
jreast203,14,快速・普通 / 指定,△,条件付き利用可,快速・普通 / 指定席,0.95
jreast203,15,快速・普通 / 自由,○,乗車可,快速・普通 / 自由席,0.95
jreast203,16,ＢＲＴ,○,乗車可,BRT（公交快速运输）,0.9
jreast205,1,東海道新幹線,×,乗車不可,东海道新干线,0.9
jreast205,2,北海道新幹線 / グランクラス,▲,乗車券のみ有効,北海道新干线 / 超高级车厢(Gran Class),0.95
