ticket_id,passenger_type,channel,variant,price_jpy,price_raw
18kippu,大人,,,10000,"大人/小人 10,000円"
18kippu,大人,,,12050,"大人/小人 12,050円"
autumn,おとな,,,7850,"おとな：7,850円"
autumn,こども,,,3920,"こども：3,920円"
jreast04,大人,,,11780,"大人：11,780円"
jreast04,小人,,,5890,"小人：5,890円"
jreast203,,えきねっと,グリーン車用,51000,"51,000円"
jreast203,,えきねっと,普通車用,28000,"28,000円"
jreast203,,窓口,普通車用,29000,"29,000円"
jreast205,,,,26740,"大人の休日倶楽部会員 
 普通車用：26,740円 グリーン車用：50,250円"
jreast201,,えきねっと,グリーン車用,36000,"36,000円"
jreast201,,えきねっと,普通車用,20000,"20,000円"
jreast201,,窓口,普通車用,21000,"21,000円"
jreast221,,,,18800,"大人の休日倶楽部会員 
 普通車用：18,800円 グリーン車用：35,000円"
jreast24,大人,,,10000,"大人 10,000円"
jreast24,大人,,,18000,"大人 18,000円"
jreast38,大人,,,9000,"大人：9,000円"
jrwest137,大人,,,16500,"大人：16,500円"
jrwest137,小人,,,8500,"小人：8,500円"
jrhokkaido01,大人,窓口,,29000,"29,000円"
jrhokkaido01,大人,えきねっと,,28000,"28,000円"
jrhokkaido11,大人,,1日間用,3300,"3,300円"
jrhokkaido11,小人,,1日間用,1650,"1,650円"
jrhokkaido11,大人,,2日間用,5600,"5,600円"
jrhokkaido11,小人,,2日間用,2800,"2,800円"
jrhokkaido11,大人,,3日間用,6900,"6,900円"
jrhokkaido11,小人,,3日間用,3450,"3,450円"
jrhokkaido13,大人,,,2730,"大人：2,730円"
jrhokkaido13,小人,,,1360,"小人：1,360円"
jrhokkaido22,大人,,,3050,"大人：3,050円"
jrhokkaido22,小人,,,1520,"小人：1,520円"
jrhokkaido54,,えきねっと,グリーン車用,36050,"36,050円"
jrhokkaido54,,えきねっと,普通車用,18070,"18,070円"
jrhokkaido54,,窓口,普通車用,19070,"19,070円"
jrhokkaido55,,,,18070,"大人の休日倶楽部会員 
 普通車用：18,070円 グリーン車用：36,050円"
jrhokkaido91,大人,,1日用,3000,"3,000円"
jrhokkaido91,小人,,1日用,1500,"1,500円"
jrhokkaido91,大人,,2日用,4500,"4,500円"
jrhokkaido91,小人,,2日用,2250,"2,250円"
jrhokkaido93,大人,,,20810,"大人：20,810円"
jrhokkaido87,大人,,,20810,"大人：20,810円"
jrhokkaido95,大人,,,16670,"大人：16,670円"
jrhokkaido86,大人,,,16670,"大人：16,670円"
jrhokkaido88,大人,,,16670,"大人：16,670円"
jrhokkaido107,大人,,網走・小清水フリーパス,4500,"4,500円"
jrhokkaido107,大人,,網走・小清水・女満別空港フリーパス 女満別空港連絡バス付き,5000,"5,000円"
jrhokkaido107,大人,,網走・小清水・女満別空港フリーパス どこバス+plusエアポート付き,6000,"6,000円"
jrhokkaido107,大人,,知床・網走・小清水・女満別空港フリーパス 知床エアポートライナー付き,9800,"9,800円"
jrhokkaido113,大人,,,5400,"大人：5,400円"
jrhokkaido113,小人,,,2700,"小人：2,700円"
jrhokkaido114,大人,,,40200,"大人：4,0200円"
jrhokkaido114,小人,,,2000,"小人：2,000円"
jrhokkaido80,大人,,１日乗車券,3500,"3,500円"
jrhokkaido80,小人,,１日乗車券,1750,"1,750円"
jrhokkaido80,大人,,２日乗車券,6000,"6,000円"
jrhokkaido80,小人,,２日乗車券,3000,"3,000円"
jrhokkaido80,大人,,３日乗車券,9000,"9,000円"
jrhokkaido80,小人,,３日乗車券,4500,"4,500円"
jrhokkaido115,大人,,,3000,"大人：3,000円"
jrhokkaido115,小人,,,1500,"小人：1,500円"
jrhokkaido115,大人,,,4000,"大人：4,000円"
jrhokkaido115,小人,,,2000,"小人：2,000円"
jrhokkaido116,大人,,,5000,"大人：5,000円"
jrhokkaido116,小人,,,2500,"小人：2,500円"
jrhokkaido116,大人,,,6000,"大人：6,000円"
jrhokkaido116,小人,,,3000,"小人：3,000円"
sapporo02,大人,,,830,大人830円
sapporo02,小人,,,420,小人420円
sapporo21,大人,,,520,大人520円
sapporo21,小人,,,260,小人260円
sapporo24,大人,,,570,大人：570円
sapporo24,小人,,,290,小人：290円
sapporo22,大人,,,840,大人：840円
