ticket_id,seq,restriction_ja
18kippu,1,JRバスは利用不可.
18kippu,2,博多〜博多南間、越後湯沢〜ガーラ湯沢間は乗車不可。
18kippu,3,宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税(100円)の支払いが必要。
18kippu,4,"青森〜新青森間,新夕張〜新得間,東室蘭〜室蘭間,宮崎空港〜宮崎間,早岐〜佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。"
18kippu,5,青森〜新青森間を相互利用の場合、全車指定席快速列車のあいている席を利用可。
18kippu,6,普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。
18kippu,7,"北海道新幹線の新青森〜木古内間を経由し、道南いさりび鉄道線・木古内〜五稜郭間を通過する場合、「青春18きっぷ北海道新幹線オプション券(￥4,500)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。"
18kippu,8,青い森鉄道線の｢青森〜八戸」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。
18kippu,9,あいの風とやま鉄道線の｢富山〜高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
18kippu,10,あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡〜津幡」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
18kippu,11,ハピラインふくい線の｢敦賀〜越前花堂」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
18kippu,12,有効期間が最終日の場合、最終列車まで利用可能。
autumn,1,普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。
autumn,2,"青森〜新青森間,新夕張〜新得間,東室蘭〜室蘭間,宮崎空港〜宮崎間,早岐〜佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。"
autumn,3,博多〜博多南間、越後湯沢〜ガーラ湯沢間は乗車不可。
autumn,4,青い森鉄道線の｢青森〜八戸間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。
autumn,5,"北海道新幹線の津軽いまべつ〜木古内間及び道南いさりび鉄道線・木古内〜五稜郭間相互は、「青春18きっぷ北海道新幹線オプション券(￥2,490)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。"
autumn,6,あいの風とやま鉄道線の｢富山〜高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
autumn,7,あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡〜津幡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
autumn,8,ハピラインふくい線の｢敦賀〜越前花堂間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。
autumn,9,乗車した列車が０時をまたがって運転される場合、０時を越えて最初に停車する駅まで有効。東京・大阪の電車区間は終電まで有効。
autumn,10,宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税（100円）の支払いが必要。
jreast04,1,新青森〜新函館北斗間内相互発着利用の場合、特定特急券を購入すれば北海道新幹線の空席を利用可能
jreast04,2,新青森〜青森間相互利用の場合は、特急普通車自由席、全車指定席の普通列車(快速含む)の空席に乗車可
jreast04,3,"新夕張〜新得間,東室蘭〜室蘭間相互利用の場合は、特急列車の空席に乗車可"
jreast203,1,大人の休日倶楽部会員限定。
jreast203,2,利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)
jreast203,3,特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。
jreast203,4,事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。
jreast203,5,富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。
jreast203,6,東海道新幹線乗車不可。
jreast205,1,大人の休日倶楽部会員限定。
jreast205,2,利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)
jreast205,3,特急(北海道・東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。
jreast205,4,事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。
jreast205,5,富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。
jreast205,6,東海道新幹線乗車不可。
jreast201,1,大人の休日倶楽部会員限定。
jreast201,2,利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)
jreast201,3,特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。
jreast201,4,事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。
jreast201,5,富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。
jreast201,6,東海道新幹線乗車不可。
jreast221,1,大人の休日倶楽部会員限定。
jreast221,2,利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)
jreast221,3,特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。
jreast221,4,事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。
jreast221,5,富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。
jreast221,6,東海道新幹線乗車不可。
jreast24,1,普通車指定席(または立席)が2回まで利用可
jreast24,2,ライナー、寝台車、グリーン車に乗車の場合は別途料金券が必要。
jreast24,3,東海道新幹線には乗車できない。
jreast38,1,青い森鉄道線は、当日中にJR線へ乗り継ぐ場合に限る
jrwest136,1,WESTERポイントでのみ購入可能
jrwest136,2,サンライズ出雲・サンライズ瀬戸は全設備利用不可
jrwest136,3,継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。
jrwest136,4,IRいしかわ鉄道線の金沢〜津幡間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。
jrwest136,5,ハピラインふくい線の福井〜越前花堂間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。
jrwest137,1,WESTERポイントでのみ購入可能
jrwest137,2,サンライズ出雲・サンライズ瀬戸は全設備利用不可
jrwest137,3,継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。
jrwest137,4,IRいしかわ鉄道線の金沢〜津幡間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。
jrwest137,5,ハピラインふくい線の福井〜越前花堂間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。
jrwest138,1,WESTERポイントでのみ購入可能
jrwest138,2,"「みずほ」,「さくら」は乗車不可"
jrwest138,3,継続乗車は最終列車まで有効。
jrhokkaido01,1,特急の普通車指定席を６回まで利用可。
jrhokkaido01,2,座席未指定券を発売する特急列車に乗車する場合は、きっぷ本券のみで「普通車指定席の空いている席」を利用できる
jrhokkaido01,3,北海道新幹線は利用不可
jrhokkaido01,4,"ジェイ・アール北海道バス線のうち、札幌〜旭川・帯広・紋別・キロロ・広尾間,苫小牧〜えりも間の都市間バス及び臨時バス路線は利用不可。"
jrhokkaido01,5,札幌〜小樽間の高速バスは、ジェイ・アール北海道バス便に限り乗車可
jrhokkaido11,1,特急・急行列車には乗車不可。
jrhokkaido13,1,特急・急行列車には乗車不可。
jrhokkaido13,2,新夕張－新得間のみを利用する場合、同区間の特急普通車自由席に乗車可。
jrhokkaido22,1,特急列車は別途特急料金が必要。(乗車券のみ有効)
jrhokkaido22,2,普通列車指定席を利用する場合は別途指定席券が必要。
jrhokkaido54,1,大人の休日倶楽部会員限定。購入時・利用時に大人の休日倶楽部会員証の提示が必要。
jrhokkaido54,2,指定席は6回まで利用可。
jrhokkaido54,3,指定席の変更は列車出発前１回に限り変更可能。
jrhokkaido54,4,グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。
jrhokkaido55,1,大人の休日倶楽部会員限定。
jrhokkaido55,2,指定席は6回まで利用可。
jrhokkaido55,3,指定席の変更は列車出発前１回に限り変更可能。
jrhokkaido55,4,グリーン席・寝台利用時は、グリーン料金・寝台料金のほか、特急料金も必要。
jrhokkaido93,1,"2026年4月27日〜2026年5月6日,2026年8月10日〜2026年8月19日,2026年12月28日〜2027年1月6日は利用できない。"
jrhokkaido93,2,U25用は購入時に年齢を確認できる公的機での証明書必要
jrhokkaido87,1,"2026年4月27日〜2026年5月6日,2026年8月10日〜2026年8月19日,2026年12月28日〜2027年1月6日は利用できない。"
jrhokkaido87,2,U25用は購入時に年齢を確認できる公的機での証明書必要
jrhokkaido95,1,"2026年4月27日〜2026年5月6日,2026年8月10日〜2026年8月19日,2026年12月28日〜2027年1月6日は利用できない。"
jrhokkaido95,2,U25用は購入時に年齢を確認できる公的機での証明書必要
jrhokkaido86,1,"2026年4月27日〜2026年5月6日,2026年8月10日〜2026年8月19日,2026年12月28日〜2027年1月6日は利用できない。"
jrhokkaido86,2,U25用は購入時に年齢を確認できる公的機での証明書必要
jrhokkaido88,1,"2026年4月27日〜2026年5月6日,2026年8月10日〜2026年8月19日,2026年12月28日〜2027年1月6日は利用できない。"
jrhokkaido88,2,U25用は購入時に年齢を確認できる公的機での証明書必要
hakodate92,1,スマートフォン専用
jreast48,1,秋田〜田沢湖間の「こまち」に乗車の場合、乗車券のみ有効
jreast48,2,秋田内陸縦貫鉄道の「もりよし」に乗車の場合、乗車券のみ有効
tugaru99,1,ストーブ列車は、別途ストーブ列車料金が必要
tugaru91,1,ストーブ列車の旧型客車は利用不可
aoimori03,1,三沢空港到着便利用者限定(到着後7日以内利用開始)
aoimori03,2,"引き換え時に搭乗券の提示必要。（三沢,八戸,野辺地,浅虫温泉,青森）"
aoimori03,3,ＪＲの全車指定快速(リゾートあすなろ)乗車不可。
aoimori100,1,大人1名に小学生以下2名まで利用可能
aoimori100,2,8月1日〜7日および浅虫温泉花火大会開催日は利用不可
aoimori02,1,ＪＲの全車指定快速(リゾートあすなろ)は指定券が必要。
igraoimori81,1,快速指定席は利用不可
aoimori94,1,ＪＲの全車指定快速(リゾートあすなろ)乗車不可。
aoimori101,1,大人1名に小学生以下2名まで利用可能
aoimori102,1,ＪＲの全車指定快速(リゾートあすなろ)は指定券が必要。
akitajukan01,1,急行列車乗車可。
akitajukan02,1,急行列車乗車可。
akitajukan03,1,本人を含めて同行者3名まで利用可能
akitajukan03,2,誕生日を証明するものが必要。
akitajukan94,1,急行列車は別途料金必要
akitajukan94,2,1966年生まれ限定
akitajukan92,1,急行列車利用可
yurikogen02,1,おもちゃ美術館入館料込み
igr97,1,"スクラッチを削って表示された駅(渋民,いわて沼宮内,奥中山高原,目時)まで"
sanriku25,1,岩泉町民バスは往復
sanriku25,2,龍泉洞入洞料含む
sanriku22,1,中学生・高校生限定(購入時に学生証などの証明書必要)
sanriku23,1,中学生・高校生限定(購入時に学生証などの証明書必要)
sanriku84,1,小人用は商品券なし。
flower02,1,大人1名と小学生以下2名まで(大人だけでの利用不可)
