ticket_id,ticket_name_ja,ticket_name_zh,name_cov,restriction_cov,operator_conf,flag_name,flag_restriction
18kippu,青春１８きっぷ,青春18车票,1.0,0.776,0.5,False,False
autumn,秋の乗り放題パス,秋の无限乘坐通票,0.875,0.762,0.5,False,False
jreast04,北海道＆東日本パス,北海道&东日本通票,1.0,0.868,1.0,False,False
jreast203,大人の休日倶楽部パス(東日本･北海道),大人假日俱乐部通票(东日本・北海道),1.0,0.82,1.0,False,False
jreast205,大人の休日パス(東日本・北海道スペシャル),大人假日通票(东日本・北海道特别),1.0,0.822,1.0,False,False
jreast201,大人の休日倶楽部パス(東日本),大人假日俱乐部通票(东日本),1.0,0.82,1.0,False,False
jreast221,大人の休日パス(東日本スペシャル),大人假日通票(东日本特别),1.0,0.82,1.0,False,False
jreast24,「旅せよ平日！JR東日本たびキュン 早割パス」,「旅游せよ平日!JR东日本旅游行心动 早鸟优惠通票」,0.923,0.691,1.0,False,False
jreast38,東日本のんびり旅パス,东日本悠闲旅游通票,1.0,0.708,1.0,False,False
jrwest136,WESTERポイント全線フリーきっぷ(全ポイント),WESTER积分全线免费乘车通票(全积分),1.0,0.661,1.0,False,False
jrwest137,WESTERポイント全線フリーきっぷ(一部ポイント),WESTER积分全线免费乘车通票(一部积分),1.0,0.661,1.0,False,False
jrwest138,WESTERポイント山陽新幹線フリーパス,WESTER积分山阳新幹線免费乘车通票,1.0,0.645,1.0,False,False
jrhokkaido01,北海道フリーパス,北海道免费乘车通票,1.0,0.717,1.0,False,False
jrhokkaido11,北海道まんなか のんびり列車パス,北海道中部 悠闲列車通票,1.0,0.923,1.0,False,False
jrhokkaido13,一日散歩きっぷ,一日散步车票,1.0,0.859,1.0,False,False
jrhokkaido22,ラベンダーフリーパス,薰衣草免费乘车通票,1.0,0.817,1.0,False,False
jrhokkaido54,大人の休日倶楽部パス（北海道）,大人假日俱乐部通票(北海道),1.0,0.795,1.0,False,False
jrhokkaido55,大人の休日パス(北海道スペシャル),大人假日通票(北海道特别),1.0,0.808,1.0,False,False
jrhokkaido91,はこだて旅するパスポート,函馆旅游行旅游游护照通票,1.0,1.0,1.0,False,False
jrhokkaido93,Peachひがし北海道フリーパス,乐桃航空东北海道免费乘车通票,1.0,0.831,1.0,False,False
jrhokkaido87,FDAひがし北海道フリーパス,富士梦幻航空东北海道免费乘车通票,1.0,0.831,1.0,False,False
jrhokkaido95,Peachきた北海道フリーパス,乐桃航空北海道北部免费乘车通票,1.0,0.831,1.0,False,False
jrhokkaido86,FDAきた北海道フリーパス,富士梦幻航空北海道北部免费乘车通票,1.0,0.831,1.0,False,False
jrhokkaido88,ANAきた北海道フリーパス,全日空北海道北部免费乘车通票,1.0,0.831,1.0,False,False
jrhokkaido107,網走＆小清水＆知床ぐる旅パスポート,网走&小清水&知床周游旅游游护照通票,1.0,1.0,1.0,False,False
jrhokkaido113,釧網線フリーパス,钏网线免费乘车通票,1.0,1.0,1.0,False,False
jrhokkaido114,地球探索鉄道花咲線フリーパス,地球探索鉄道花咲线免费乘车通票,1.0,1.0,1.0,False,False
jrhokkaido80,かみくるパス,上川周游通票,1.0,1.0,1.0,False,False
jrhokkaido115,北見・網走周遊フリーパス,北见・网走周游免费乘车通票,1.0,1.0,1.0,False,False
jrhokkaido116,遠軽・北見・網走周遊フリーパス,远轻・北见・网走周游免费乘车通票,1.0,1.0,1.0,False,False
sapporo02,地下鉄専用1日乗車券,地铁专用1日乘车券,1.0,1.0,1.0,False,False
sapporo21,ドニチカキップ,DONICHIKA车票,1.0,1.0,1.0,False,False
sapporo24,路面電車1日乗車券,路面电车1日乘车券,1.0,1.0,0.5,False,False
sapporo22,札幌市電24時間乗車券,札幌路面电车24小时乘车券,1.0,1.0,0.5,False,False
sapporo23,どサン子パス,北海道姑娘通票,1.0,1.0,0.5,False,False
hakodate01,市電１日乗車券,路面电车1日乘车券,1.0,1.0,1.0,False,False
hakodate51,スマホ市電１日乗車券,手机路面电车1日乘车券,1.0,1.0,1.0,False,False
hakodate52,スマホ市電２４時間乗車券,手机路面电车24小时乘车券,1.0,1.0,1.0,False,False
hakodate53,スマホ市電・函館バス共通１日乗車券,手机路面电车・函馆巴士通用1日乘车券,1.0,1.0,1.0,False,False
hakodate54,スマホ市電・函館バス共通２日乗車券,手机路面电车・函馆巴士通用2日乘车券,1.0,1.0,1.0,False,False
hakodate92,NighTram TICKET,NighTram TICKET,1.0,0.333,1.0,False,True
