チケットID,チケット名,運営会社,全運営会社,会社数,联名フラグ,地域コード,地域,地域(中),跨地域,発売タイプコード,発売タイプ,発売タイプ(中),媒体,紙チケット,スマホチケット,発売状況コード,発売状況図例,発売開始,発売終了,大人料金,小人料金,最低料金,料金,有効期間,有効日数,発売期間,利用期間,フリー区間,区間地図,利用可能設備,制限事項,制限数,発売箇所,問合せ,備考,公式URL,公式リンク,拡張項目,詳細URL,保存ファイル,表示順,取得日時,タイトル,発売数量,申込期間,申込場所,元索引
18kippu,青春１８きっぷ,ＪＲ各社,['ＪＲ各社'],1,FALSE,zenkoku,全国,全国,['全国'],kisetu,季節発売タイプ,季节发售,['実券'],TRUE,FALSE,period,2026/7/3  〜9/6,2026/7/3,2026/9/6,10000,,10000,"３日間用：大人/小人 10,000円 
 
５日間用：大人/小人 12,050円",３日間／５日間,3,"３日間用： 2026年2月13日〜2026年4月8日 
 2026年7月3日〜2026年9月6日 
 2026年11月27日〜2027年1月9日 
 
 ５日間用： 2026年2月13日〜2026年4月6日 
 2026年7月3日〜2026年9月4日 
 2026年11月27日〜2027年1月7日","2026年3月1日〜2026年4月10日 
 2026年7月18日〜2026年9月8日 
 2026年12月11日〜2027年1月11日",ＪＲ線全線（宮島航路含む）,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/japan.gif'],"新幹線 在来線特急・急行 快速・普通 ＢＲＴ 宮島航路 
 のぞみ／みずほ号 グランクラス グリーン車 普通車指定 普通者個室 普通車自由 Ａ個室寝台車 Ｂ個室寝台車 グリーン個室 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 普通車指定 普通車自由 
 × × × × × × × × × × × △ × ▲ ▲ ▲ ○ ○ ○ 
 
 ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可","['JRバスは利用不可.' '博多〜博多南間、越後湯沢〜ガーラ湯沢間は乗車不可。'
 '宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税(100円)の支払いが必要。'
 '青森〜新青森間,新夕張〜新得間,東室蘭〜室蘭間,宮崎空港〜宮崎間,早岐〜佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。'
 '青森〜新青森間を相互利用の場合、全車指定席快速列車のあいている席を利用可。' '普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。'
 '北海道新幹線の新青森〜木古内間を経由し、道南いさりび鉄道線・木古内〜五稜郭間を通過する場合、「青春18きっぷ北海道新幹線オプション券(￥4,500)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。'
 '青い森鉄道線の｢青森〜八戸」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。'
 'あいの風とやま鉄道線の｢富山〜高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 'あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡〜津幡」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 'ハピラインふくい線の｢敦賀〜越前花堂」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 '有効期間が最終日の場合、最終列車まで利用可能。']",12,"ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社",,,https://www.jrhokkaido.co.jp/CM/Otoku/007255/,"[{'text': 'ＪＲ北海道', 'url': 'https://www.jrhokkaido.co.jp/CM/Otoku/007255/'}
 {'text': 'ＪＲ東日本(3日間用)', 'url': 'http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3000'}
 {'text': 'ＪＲ東日本(5日間用)', 'url': 'http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3001'}
 {'text': 'ＪＲ東海', 'url': 'https://jr-central.co.jp/news/release/_pdf/000044897.pdf'}
 {'text': 'ＪＲ西日本', 'url': 'https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000037'}
 {'text': 'ＪＲ九州(3日間用)', 'url': 'https://www.jrkyushu-kippu.jp/fare/ticket/424'}
 {'text': 'ＪＲ九州(5日間用)', 'url': 'https://www.jrkyushu-kippu.jp/fare/ticket/423'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/18kippu.htm,18kippu.htm,1,2026-08-10 01:30:50.424840+00:00,青春１８きっぷ,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/18kippu.htm
autumn,秋の乗り放題パス,ＪＲ各社,['ＪＲ各社'],1,FALSE,zenkoku,全国,全国,['全国'],autumn,秋限定タイプ,秋季限定,['実券'],TRUE,FALSE,ended,終了,,,7850,3920,3920,"おとな：7,850円 こども：3,920円",３日間,3,2025年9月12日〜2025年10月17日,2025年10月4日〜2025年10月19日,ＪＲ線全線、ＪＲ西日本宮島フェリー,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/japan.gif'],"新幹線 在来線特急・急行 快速・普通 ＢＲＴ 宮島航路 
 のぞみ／みずほ号 グランクラス グリーン車 普通車指定 普通者個室 普通車自由 Ａ個室寝台車 Ｂ個室寝台車 グリーン個室 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 普通車指定 普通車自由 
 × × × × × × × × × × × △ 
 *1 × ▲ ▲ ▲ ○ ○ ○ 
 
 ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可","['普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。'
 '青森〜新青森間,新夕張〜新得間,東室蘭〜室蘭間,宮崎空港〜宮崎間,早岐〜佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。'
 '博多〜博多南間、越後湯沢〜ガーラ湯沢間は乗車不可。'
 '青い森鉄道線の｢青森〜八戸間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。'
 '北海道新幹線の津軽いまべつ〜木古内間及び道南いさりび鉄道線・木古内〜五稜郭間相互は、「青春18きっぷ北海道新幹線オプション券(￥2,490)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。'
 'あいの風とやま鉄道線の｢富山〜高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 'あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡〜津幡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 'ハピラインふくい線の｢敦賀〜越前花堂間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。'
 '乗車した列車が０時をまたがって運転される場合、０時を越えて最初に停車する駅まで有効。東京・大阪の電車区間は終電まで有効。'
 '宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税（100円）の支払いが必要。']",10,"ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社",,,https://www.jrhokkaido.co.jp/CM/Otoku/007153/,"[{'text': 'ＪＲ北海道', 'url': 'https://www.jrhokkaido.co.jp/CM/Otoku/007153/'}
 {'text': 'ＪＲ東日本', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2979'}
 {'text': 'ＪＲ東海', 'url': 'https://jr-central.co.jp/news/release/_pdf/000044517.pdf'}
 {'text': 'ＪＲ西日本', 'url': 'https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=125000282'}
 {'text': 'ＪＲ四国', 'url': 'https://www.jr-eki.com/ticket/brand/2-EQ0'}
 {'text': 'ＪＲ九州', 'url': 'https://www.jrkyushu.co.jp/common/inc/news/newtopics/__icsFiles/afieldfile/2025/09/02/20250902_Release_of_the_Autumn_Unlimited_Ride_Pass_and_the_Autumn_Unlimited_Ride_Pass_Hokkaido_Shinkansen_Option_Ticket.pdf'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/autumn.htm,autumn.htm,2,2026-08-10 01:30:50.424840+00:00,秋の乗り放題パス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/autumn.htm
jreast04,北海道＆東日本パス,ＪＲ北海道 ＪＲ東日本,['ＪＲ北海道 ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kisetu,季節発売タイプ,季节发售,['実券'],TRUE,FALSE,period,2026/6/20  〜9/24,2026/6/20,2026/9/24,11780,5890,5890,"大人：11,780円／小人：5,890円",利用期間内の連続する７日間,7,"春季：2026年2月13日〜2026年4月16日 
 
夏季：2026年6月20日〜2026年9月24日 
 
冬季：2026年11月27日〜2027年1月5日","春季：2026年3月1日〜2026年4月22日 
 
夏季：2026年7月1日〜2026年9月30日 
 
冬季：2026年12月11日〜2027年1月11日","ＪＲ東日本：全線
 
 ＪＲ北海道：全線
 
 北越急行 ：全線
 
 青い森鉄道：全線
 
 ＩＧＲいわて銀河鉄道：全線",[],"東北・上越・北陸新幹線 北海道新幹線 在来線特急・急行 快速・普通 ＢＲＴ 
 寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 × △*1 × × × △*2 
 *3 × ▲ ▲ ▲ ○ ○ 
 
 ○：乗車可 △：制限事項あり ▲：乗車券のみ有効 ×：乗車不可","['新青森〜新函館北斗間内相互発着利用の場合、特定特急券を購入すれば北海道新幹線の空席を利用可能'
 '新青森〜青森間相互利用の場合は、特急普通車自由席、全車指定席の普通列車(快速含む)の空席に乗車可'
 '新夕張〜新得間,東室蘭〜室蘭間相互利用の場合は、特急列車の空席に乗車可']",3,ＪＲ北海道、ＪＲ東日本の主な駅、駅の旅行センターおよび主な旅行会社,,,http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2962,"[{'text': 'ＪＲ東日本', 'url': 'http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2962'}
 {'text': 'ＪＲ北海道', 'url': 'https://www.jrhokkaido.co.jp/CM/Otoku/007213/'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast04.htm,jreast04.htm,3,2026-08-10 01:30:50.424840+00:00,北海道＆東日本パス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast04.htm
jreast203,大人の休日倶楽部パス(東日本･北海道),ＪＲ北海道 ＪＲ東日本,['ＪＲ北海道 ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kaiin,会員限定タイプ,会员限定,['実券'],TRUE,FALSE,period,2026/7/31  〜9/7,2026/7/31,2026/9/7,,,28000,"大人の休日倶楽部会員限定 
 
 
 
 購入場所 グリーン車用 普通車用 
 えきねっと 51,000円 28,000円 
 窓口 設定なし 29,000円",５日間,5,"利用開始日の1ヵ月前から前日まで 
 
2026年5月23日〜2026年6月29日 
 
2026年7月31日〜2026年9月7日 
 
2026年12月18日〜2027年1月25日","2026年6月22日〜2026年7月4日 
 
2026年8月31日〜2026年9月12日 
 
2026年1月18日〜2027年1月30日","ＪＲ東日本：全線（新幹線含む）
 
 ＪＲ北海道：全線（新幹線含む）
 
 青い森鉄道：全線
 
 IGRいわて銀河鉄道：全線
 
 三陸鉄道：全線
 
 北越急行：全線
 
 伊豆急行：全線
 
 富士急行：全線
 
 えちごトキめき鉄道：直江津〜新井間
 
 ＢＲＴ：全線",[],"東海道新幹線 北海道･東北･秋田･山形 
 上越･北陸新幹線 在来線特急/急行 快速・普通 ＢＲＴ 
 グランクラス グリーン車 普通車指定 普通車自由 Ａ寝台車 Ｂ寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 普通車用 × ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ○ 
 グリーン車用 × ▲ △ △ ○ ▲ ▲ △ △ ○ △ ○ △ △ ○ ○ 
 
 ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 
 ×：乗車不可","['大人の休日倶楽部会員限定。' '利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)'
 '特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。'
 '事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。'
 '富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。'
 '東海道新幹線乗車不可。']",6,"JR東日本の主な駅の指定席券売機 
 びゅうプラザ・みどりの窓口 
 JR北海道の主な駅のみどりの窓口",ＪＲ東日本,,https://jre-ot9.jp/ticket/clubpass.html#overview,"[{'text': 'ＪＲ東日本・大人の休日倶楽部', 'url': 'https://jre-ot9.jp/ticket/clubpass.html#overview'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast203.htm,jreast203.htm,4,2026-08-10 01:30:50.424840+00:00,大人の休日倶楽部パス (東日本・北海道),"大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、
普通車用：30,000枚/日、グリーン車用：1,000枚/期間",,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast203.htm
jreast205,大人の休日パス(東日本・北海道スペシャル),ＪＲ北海道 ＪＲ東日本,['ＪＲ北海道 ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kaiin,会員限定タイプ,会员限定,['実券'],TRUE,FALSE,ended,終了,,,,,26740,"大人の休日倶楽部会員 
 普通車用：26,740円 グリーン車用：50,250円",利用期間内の連続する５日間,5,2025年8月25日〜2025年9月29日,2025年9月25日〜2025年10月4日,"ＪＲ東日本：全線（新幹線含む）
 
 ＪＲ北海道：全線（新幹線含む）
 
 青い森鉄道：全線
 
 IGRいわて銀河鉄道：全線
 
 三陸鉄道：全線
 
 北越急行：全線
 
 伊豆急行：全線
 
 富士急行：全線
 
 えちごトキめき鉄道：直江津〜新井間
 
 ＢＲＴ：全線",[],"東海道新幹線 北海道新幹線 東北･秋田･山形 
 上越･長野新幹線 在来線特急/急行 快速・普通 ＢＲＴ 
 グランクラス グリーン車 普通車指定 グランクラス グリーン車 普通車指定 普通車自由 Ａ寝台車 Ｂ寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 普通車用 × ▲ ▲ △ ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ○ 
 グリーン車用 × ▲ △ △ ▲ △ △ ○ ▲ ▲ △ △ ○ △ △ ▲ △ ○ ○ 
 

 ○：乗車可 △：合計６回まで利用可 
 ▲：乗車券のみ有効 
 ×：乗車不可","['大人の休日倶楽部会員限定。' '利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)'
 '特急(北海道・東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。'
 '事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。'
 '富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。'
 '東海道新幹線乗車不可。']",6,えきねっと,ＪＲ東日本,,https://www.jrhokkaido.co.jp/CM/Otoku/007147/,"[{'text': 'ＪＲ北海道', 'url': 'https://www.jrhokkaido.co.jp/CM/Otoku/007147/'}
 {'text': 'ＪＲ東日本(普通車用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2975'}
 {'text': 'ＪＲ北海道', 'url': 'https://www.jrhokkaido.co.jp/CM/Otoku/007148/'}
 {'text': 'ＪＲ東日本(グリーン車用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2976'}
 {'text': 'ＪＲ東日本・大人の休日倶楽部', 'url': 'https://jre-ot9.jp/ticket/?header_link#special2309'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast205.htm,jreast205.htm,5,2026-08-10 01:30:50.424840+00:00,大人の休日パス (東日本・北海道スペシャル),,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast205.htm
jreast201,大人の休日倶楽部パス(東日本),ＪＲ東日本,['ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kaiin,会員限定タイプ,会员限定,['実券'],TRUE,FALSE,period,2026/7/31  〜9/7,2026/7/31,2026/9/7,,,20000,"大人の休日倶楽部会員限定 
 
 購入場所 グリーン車用 普通車用 
 えきねっと 36,000円 20,000円 
 窓口 設定なし 21,000円",５日間,5,"利用開始日の1ヵ月前から前日まで 
 
2026年5月23日〜2026年6月29日 
 
2026年7月31日〜2026年9月7日 
 
2026年12月18日〜2027年1月25日","2026年6月22日〜2026年7月4日 
 
2026年8月31日〜2026年9月12日 
 
2026年1月18日〜2027年1月30日",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast201.gif'],"東海道新幹線 北海道新幹線 東北･秋田･山形 
 上越･北陸新幹線 在来線特急/急行 快速・普通 ＢＲＴ 
 グランクラス グリーン車 普通車指定 普通車自由 Ａ寝台車 Ｂ寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 普通車用 × × ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ○ 
 グリーン車用 × × ▲ △ △ ○ ▲ ▲ △ △ ○ △ ○ △ △ ○ ○ 
 
 ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 
 ×：乗車不可","['大人の休日倶楽部会員限定。' '利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)'
 '特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。'
 '事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。'
 '富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。'
 '東海道新幹線乗車不可。']",6,"JR東日本の主な駅の指定席券売機 
 びゅうプラザ・みどりの窓口",ＪＲ東日本,,https://jre-ot9.jp/ticket/clubpass.html#overview,"[{'text': 'ＪＲ東日本・大人の休日倶楽部', 'url': 'https://jre-ot9.jp/ticket/clubpass.html#overview'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast201.htm,jreast201.htm,6,2026-08-10 01:30:50.424840+00:00,大人の休日倶楽部パス (東日本),"大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、
普通車用：30,000枚/日、グリーン車用：1,000枚/期間",,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast201.htm
jreast221,大人の休日パス(東日本スペシャル),ＪＲ東日本,['ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kaiin,会員限定タイプ,会员限定,['実券'],TRUE,FALSE,ended,終了,,,,,18800,"大人の休日倶楽部会員 
 普通車用：18,800円 グリーン車用：35,000円",利用期間内の連続する５日間,5,2025年8月25日〜2025年9月29日,2025年9月25日〜2025年10月4日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast201.gif'],"東海道新幹線 東北･秋田･山形 
 上越･北陸新幹線 在来線特急/急行 快速・普通 ＢＲＴ 
 グラン グリーン車 普通車指定 普通車自由 Ａ寝台車 Ｂ寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 × ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ○ 
 
 ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 
 ×：乗車不可","['大人の休日倶楽部会員限定。' '利用日当日の発売無し。(利用開始日の1カ月前から前日の発売)'
 '特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。'
 '事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。'
 '富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。'
 '東海道新幹線乗車不可。']",6,えきねっと,ＪＲ東日本,,https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2973,"[{'text': 'ＪＲ東日本(普通車用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2973'}
 {'text': 'ＪＲ東日本(グリーン車用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2974'}
 {'text': 'ＪＲ東日本・大人の休日倶楽部', 'url': 'https://jre-ot9.jp/ticket/special2411.html'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast221.htm,jreast221.htm,7,2026-08-10 01:30:50.424840+00:00,大人の休日パス 東日本スペシャル,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast221.htm
jreast24,「旅せよ平日！JR東日本たびキュン 早割パス」,ＪＲ東日本,['ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,10000,,10000,"1日用：大人 10,000円
2日用：大人 18,000円",1日間/2日間,1,"1日用：2026年1月12日〜2026年2月26日 
 
2日用：2026年1月12日〜2026年2月25日 
 
利用開始日の1か月前から14日前までの発売",2026年2月12日〜2026年3月12日の平日,,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast24.gif'],"東海道新幹線 東北･秋田･山形･上越･北陸新幹線 北海道新幹線 在来線特急・急行 快速・普通 ＢＲＴ 
 グランクラス グリーン車 指定 自由 寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 × ▲ ▲ △ ○ × ▲ ▲ △ ○ ▲ ▲ ▲ △ ○ ○ 
 
 ○：乗車可 
 
 △：1日用 2回まで有効、2日用 4回まで有効 
 
 ▲：乗車券のみ有効 ×：乗車不可","['普通車指定席(または立席)が2回まで利用可' 'ライナー、寝台車、グリーン車に乗車の場合は別途料金券が必要。'
 '東海道新幹線には乗車できない。']",3,えきねっと,ＪＲ東日本,,https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2985,"[{'text': 'ＪＲ東日本(1日用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2985'}
 {'text': 'ＪＲ東日本(2日用)', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2986'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast24.htm,jreast24.htm,8,2026-08-10 01:30:50.424840+00:00,旅せよ平日！JR東日本たびキュン 早割パス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast24.htm
jreast38,東日本のんびり旅パス,ＪＲ東日本,['ＪＲ東日本'],1,FALSE,zenkoku,全国,全国,['全国'],kikan,期間限定タイプ,期间限定,['実券'],TRUE,FALSE,ended,終了,,,9000,,9000,"大人：9,000円",３日間,3,2025年6月18日〜2025年12月24日,"2025年7月1日〜2025年12月26日 
 ※8月10日〜19日を除く",,['https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast38.gif'],"東海道新幹線 東北・上越新幹線 在来線特急・急行 快速・普通 青い森鉄道 ＢＲＴ 
 のぞみ ひかり/こだま グリーン ライナー 指定 自由 
 × × × △ ▲ ▲ ▲ ○ □ ○ 
 
 ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 
 
 □：青森―野辺地、青森―八戸、野辺地―八戸間",['青い森鉄道線は、当日中にJR線へ乗り継ぐ場合に限る'],1,えきねっと,ＪＲ東日本 TEL:,,https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2959,"[{'text': 'ＪＲ東日本', 'url': 'https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2959'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast38.htm,jreast38.htm,9,2026-08-10 01:30:50.424840+00:00,東日本のんびり旅パス,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast38.htm
jrwest136,WESTERポイント全線フリーきっぷ(全ポイント),ＪＲ西日本,['ＪＲ西日本'],1,FALSE,zenkoku,全国,全国,['全国'],kaiin,会員限定タイプ,会员限定,['実券'],TRUE,FALSE,ended,終了,,,,,,"大人：10,000ポイント/小人：5,000ポイント",2日間,2,"2026年5月11日〜2026年7月16日 
 2025年12月26日〜2026年3月19日","2026年6月1日〜2026年7月17日 
 2026年1月13日〜2026年3月20日 
 2025年7月16日〜2025年8月31日 
 2025年8月8日〜17日は利用不可","山陽新幹線：新大阪－博多
 
 北陸新幹線：敦賀－上越妙高
 
 在来線 ：全線
 
 智頭急行 ：全線",[],"東海道新幹線 山陽新幹線 北陸新幹線 在来線特急・急行 快速・普通 
 グリーン車 普通車指定 普通車自由 グランクラス グリーン車 普通車指定 普通車自由 寝台車 グリーン車 普通車指定 普通車自由 グリーン車指定 グリーン車自由 ライナー 指定 自由 
 × ▲ ○ ○ × ▲ ○ ○ × ▲ ○ ○ ▲ ▲ ▲ ○ ○ 
 
 ○：乗車可 ▲：乗車券のみ有効 ×：乗車不可 
 
 「サンライズ出雲・瀬戸」,「WEST EXPRESS 銀河」は乗車不可","['WESTERポイントでのみ購入可能' 'サンライズ出雲・サンライズ瀬戸は全設備利用不可'
 '継続乗車は、午前０時を過ぎて最初に停車する駅まで有効。電車特定区間内では最終列車まで有効。'
 'IRいしかわ鉄道線の金沢〜津幡間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。'
 'ハピラインふくい線の福井〜越前花堂間は、JR西日本線へ通過利用する場合に限り運賃・料金不要。']",5,e5489 限定,ＪＲ西日本：,,http://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000069,"[{'text': 'ＪＲ西日本', 'url': 'http://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000069'}]",,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest136.htm,jrwest136.htm,10,2026-08-10 01:30:50.424840+00:00,WESTERポイント全線フリーきっぷ（全ポイント）,,,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jrwest136.htm
